id,match_id,sender,message,seen,notified,revealed,timestamp
6,349,candidate,Hello,1,0,0,2025-02-12 18:26:09
7,349,company,Hi,1,0,0,2025-02-12 18:26:17
8,349,candidate,"Please ignore, this is Candid doing some final testing.",1,0,0,2025-02-12 18:26:20
9,349,company,Who are you?,1,0,0,2025-02-12 18:26:21
10,349,candidate,I\'m going to reveal who I am.,1,0,0,2025-02-12 18:26:26
11,349,company,Please reveal yoursel,1,0,0,2025-02-12 18:26:28
12,349,candidate,"I've just revealed who I am in the Room, I am * , a * at * .",1,0,1,2025-02-12 18:26:32
13,349,company,"You have been progressed to the next stage, this room will automatically close in 30 days time - in the mean time, we will be in touch directly",1,0,0,2025-02-12 18:26:40
20,144,candidate,Hello,1,1,0,2025-02-12 21:06:14
21,362,candidate,"I've just revealed who I am in the Room, I am * , a * at .",1,1,1,2025-02-12 22:13:26
22,362,company,"You have been progressed to the next stage, this room will automatically close in 30 days time - in the mean time, we will be in touch directly",1,1,0,2025-02-12 23:14:51
23,144,candidate,I would love the opportunity to discuss this job role and feel I have the experience and knowledge to be a great asset to the brand,1,1,0,2025-02-13 08:40:38
25,144,company,Hello and thank you for getting in touch! Could you please let us know a bit more about your experience as an * ?,1,0,0,2025-02-14 14:05:05
26,144,company,"The role we are recruiting for is a traditional * role. The current area has * restaurants, one of them being out of *. The other two * are sharing the other *.",1,0,0,2025-02-14 14:07:07
27,144,company,Please feel free to ask any question to find out more about us.,1,0,0,2025-02-14 14:07:37
31,144,candidate,"I was a multisite * with * including *of the busiest sites in the company. I was responsible for all * locations * and * recruitment, training and",1,1,0,2025-02-14 15:03:28
32,144,candidate,"Development. I’m a big believer in people and building great teams, and developing talent from with in. My small area sales varied between £*and £$ plus… NPS for my unit was *s with over",1,1,0,2025-02-14 15:05:08
33,144,candidate,* reviews. I have worked in * and * most of my life *+ yrs. was a * for * prior to moving to * was,1,1,0,2025-02-14 15:06:05
62,357,candidate,Hello,1,0,0,2025-02-27 10:37:01
63,357,company,Hello,1,0,0,2025-02-27 10:40:51
64,357,candidate,"I've just revealed who I am in the Room, I am *, a * at *.",1,0,1,2025-02-27 10:46:57
65,357,company,"You have been progressed to the next stage, this room will automatically close in 30 days time - in the mean time, we will be in touch directly",1,0,0,2025-02-27 10:47:24
71,272,company,Hello :),1,1,0,2025-03-05 09:44:29
72,272,company,Is there anything specific that you\'d like to know about the role or about *?,1,1,0,2025-03-05 13:59:24
73,272,candidate,Hi! I can see some detail in the JD but just interested to know more about the set up of the * . Is there other internal roles in the team as well as the * ?,1,1,0,2025-03-05 16:58:12
74,272,candidate,Would be great to understand the job type and the split between working from home / working in the office & travelling to sites too 😊,1,1,0,2025-03-05 16:59:28
75,272,candidate,Last question in the immediate is which of the brands this role covers? Thank you!,1,1,0,2025-03-05 17:00:43
76,272,company,"Great. The role is to join * , which comprises the brands *,...,*.",1,1,0,2025-03-06 07:55:20
77,272,company,our support centre roles are hybrid. The rest of the time is your to plan either home or restaurants,1,1,0,2025-03-06 07:55:55
78,272,company,"The team set up is: *, *, *, * and *",1,1,0,2025-03-06 07:58:03
79,272,company,"Please do let me know if you have any other questions, or if you\'re happy to proceed it would be great to understand your experience",1,1,0,2025-03-06 07:58:46
92,272,company,"Hiya, do you have any other questions? We\'re shortlisting applications over the next day or two. Thanks *",1,1,0,2025-03-10 17:10:27
96,272,candidate,"Hi *, apologies for the delay in response I’ve been on holiday.",1,1,0,2025-03-10 20:02:21
97,272,candidate,"No other questions in the immediate, would love to chat more. In my current role I work for *, I’ve been there coming up to *.",1,1,0,2025-03-10 20:03:16
98,272,candidate,"Prior to this my experience in * goes across some different industries, *, .. , * !",1,1,0,2025-03-10 20:03:49
99,272,candidate,I’ll tap reveal myself and let me know if there’s any questions or details you’d like from me!,1,1,0,2025-03-10 20:04:14
100,272,candidate,"I've just revealed who I am in the Room, I am *, a * at * .",1,1,1,2025-03-10 20:04:16
104,272,company,"You have been progressed to the next stage, this room will automatically close in 30 days time - in the mean time, we will be in touch directly",1,1,0,2025-03-11 14:11:01
158,12671,candidate,"I've just revealed who I am in the Room, I am *, a *  at *.",1,0,1,2025-03-17 20:53:53
159,12673,company,"Hey Broccoli,",1,0,0,2025-03-18 15:38:52
160,12673,company,How are you? Great to see you connected with us. Where about are you working currently?,1,0,0,2025-03-18 15:39:46
161,134,company,Good afternoon!,1,0,0,2025-03-18 16:30:37
162,134,company,Super excited to see you are one of our first matches on the platform and I\'d really love to arrange an initial chat on teams if you\'d be happy to? ☺️,1,0,0,2025-03-18 16:31:07
171,12666,company,"Thanks for matching with our * position in *, It would be great to discuss this opportunity with you. Did you have any questions for us we can answer at this stage?",1,0,0,2025-03-19 11:11:02
183,12666,candidate,"Not really. I am available for an interview (phone or in person) most days at the moment, and would love to discuss the role in depth at any convenient opportunity",1,0,0,2025-03-20 09:31:45
184,12666,candidate,"I've just revealed who I am in the Room, I am *, a * at *.",1,0,1,2025-03-20 09:31:50
191,12666,company,"Great, Thanks for coming back to me *! Lets work on getting a call in early next week?",1,0,0,2025-03-20 13:02:14
192,12666,company,Do you have time free on Monday at all? And can you share with me a number to reach you on?,1,0,0,2025-03-20 13:03:37
206,12733,candidate,"I've just revealed who I am in the Room, I am *, a * at *.",1,1,1,2025-03-22 19:52:07
212,12718,company,"Hello, thank you for your interest in the * role. I hope you\'re well?",1,0,0,2025-03-24 10:53:12
213,12718,company,"Could you tell me a little bit about yourself and your experience, please?",1,0,0,2025-03-24 10:53:32
215,12718,candidate,I am studying * at the * and i have previously worked as an operations manager at a restaurant in *,1,0,0,2025-03-24 11:57:48
244,12793,candidate,Hi there. Thanks so much for the match. I would love to hear a little more about the role as I think I would be a perfect fit! I\'m so passionate about hospitality and would love to get involved!,1,0,0,2025-03-26 17:19:40
245,12793,company,Hello! Lovely to be connected Apple Cinnamon Waffles (very strong choice of Candid Handle),1,0,0,2025-03-26 17:44:08
246,12793,company,"You are our very first match, ever! It\'s very exciting. Do you already know a little bit about what we do as a business, or is this your first time coming across *?",1,0,0,2025-03-26 17:46:04
247,12793,company,"If so, I can share more details on our background, and details on how we see this role being super important to our growth over the coming year. We can speak tomorrow though for sure - no rush at all!",1,0,0,2025-03-26 17:52:51
248,12793,company,😁,1,0,0,2025-03-26 17:52:57
249,12793,candidate,Ohh my goodness I can\'t believe I\'m your very first match! That\'s extremely exciting and I feel rather honoured haha.,1,0,0,2025-03-26 19:46:21
250,12793,candidate,"Yes, I\'ve been following your journey on * for a few weeks now and was so excited by the concept, so having the opportunity to get involved would be amazing!",1,0,0,2025-03-26 19:47:31
251,12793,candidate,Yes please....I\'d love to know a little more about the role and the importance of the role as the company progresses....really look forward to speaking further 😁,1,0,0,2025-03-26 19:49:28
252,12793,company,"So, in a nutshell A) * B)*,",1,0,0,2025-03-26 20:48:32
253,12793,company,but we have a real knowledge gap when it comes to \'*\' - the actual sourcing of the candidates. We feel very lucky to be approaching * already but...,1,0,0,2025-03-26 20:49:17
254,12793,company,"that\'s not even the tip of the iceberg of the total number of people in salaried roles across *. We need to find someone who lives and breathes *....,",1,0,0,2025-03-26 20:50:09
255,12793,company,...* and basically brainstorming ways to * and get in front of the right people. Listen to their feedback and continuously improve the platform.,1,0,0,2025-03-26 20:50:48
256,12793,company,"If you have experience in any of these area, or feel like it\'s something up your street. Then we would love to arrange a proper chat.",1,0,0,2025-03-26 20:51:19
257,12794,candidate,"Hi guys, I\'m over the moon with this match and excited to be in my first ever room!",1,0,0,2025-03-26 22:24:28
258,12794,candidate,I\'d really love to be part of the fascinating * story and can\'t wait to tell you why I\'d be your perfect *.,1,0,0,2025-03-26 22:24:47
259,12793,candidate,"Wow, that sounds so exciting! My experience started when I was *, as a * and worked my way up to *. I then made the jump into *...",1,0,0,2025-03-27 09:08:06
260,12793,candidate,"Before going back into *as an *and then * of *. I\'m now working for * as their *, looking after all things * & *...",1,0,0,2025-03-27 09:09:00
261,12793,candidate,So I really do live and breath * haha. Specific * experience for me has been mainly during my time in * and also as a * having to source candidates...,1,0,0,2025-03-27 09:10:16
262,12793,candidate,"But my main skill and what I\'m best at, is * across the hospitality industry, in hope of making a positive difference!",1,0,0,2025-03-27 09:11:16
263,12793,candidate,"If you feel my experience would be a good fit for the growth/expansion of the company, I would definitely love to have a proper chat for sure :)",1,0,0,2025-03-27 09:12:00
264,12794,company,"Hello Sweet Potato Gnocchi! Please tell us why you\'d be our perfect *, we\'re all ears!",1,0,0,2025-03-27 10:03:28
266,12793,candidate,"I've just revealed who I am in the Room, I am *, a * at *.",1,0,1,2025-03-27 12:29:02
267,12793,company,Hey *!,1,0,0,2025-03-27 12:38:43
